ds_dsei;co_seq_dsei;ano;ativos_e_indigenas;somente_ativos
CEARÁ;10;2016;35463;37891
XAVANTE;31;2016;22166;22175
CUIABÁ;26;2016;10330;10613
MANAUS;17;2016;42579;44469
KAIAPÓ DO PARÁ;13;2016;6296;6305
AMAPÁ E NORTE DO PARÁ;2;2016;12739;12742
PARINTINS;22;2016;16339;16586
ALTO RIO JURUÁ;4;2016;19055;19218
ARAGUAIA;8;2016;5499;5675
GUAMÁ-TOCANTINS;18;2016;24308;25621
RIO TAPAJÓS;27;2016;12988;13208
ALTO RIO NEGRO;6;2016;40338;40865
INTERIOR SUL;36;2016;61083;63186
XINGU;32;2016;7765;7782
LITORAL SUL;35;2016;17295;17937
VILHENA;30;2016;8362;8887
MATO GROSSO DO SUL;20;2016;101857;103352
BAHIA;9;2016;46500;49309
MINAS GERAIS E ESPÍRITO SANTO;11;2016;21203;22917
ALTAMIRA;3;2016;4416;5091
ALAGOAS E SERGIPE;1;2016;19236;21689
PORTO VELHO;24;2016;12852;13500
LESTE DE RORAIMA;15;2017;72284;73290
ALTO RIO SOLIMÕES;7;2017;78929;79515
MÉDIO RIO SOLIMÕES E AFLUENTES;28;2017;25951;26630
KAIAPÓ DO MATO GROSSO;34;2017;6960;7017
MÉDIO RIO PURUS;21;2017;11377;12178
MARANHÃO;19;2017;46874;48008
VALE DO JAVARI;12;2017;6602;6617
POTIGUARA;25;2017;27562;31662
BAHIA;9;2017;47118;49935
TOCANTINS;29;2017;13909;14603
PERNAMBUCO;23;2017;65865;68140
ALTO RIO PURUS;5;2017;16627;17082
YANOMAMI;33;2017;30519;30520
CEARÁ;10;2017;36063;38491
XAVANTE;31;2017;23060;23069
CUIABÁ;26;2017;10571;10859
MANAUS;17;2017;43581;45504
KAIAPÓ DO PARÁ;13;2017;6516;6525
AMAPÁ E NORTE DO PARÁ;2;2017;13142;13145
PARINTINS;22;2017;16952;17200
ARAGUAIA;8;2017;5665;5841
ALTO RIO JURUÁ;4;2017;19687;19851
GUAMÁ-TOCANTINS;18;2017;24989;26308
INTERIOR SUL;36;2017;62426;64542
RIO TAPAJÓS;27;2017;13509;13731
ALTO RIO NEGRO;6;2017;41289;41821
XINGU;32;2017;7985;8002
LITORAL SUL;35;2017;17657;18299
VILHENA;30;2017;8648;9175
MATO GROSSO DO SUL;20;2017;103738;105242
